Username,User ID,First Name,Last Name
Exaon,1978501388,exaon,
ase_ba,1700068470,@̥ͦa͜͡s͜͡e͜͡ 1̥ͦ9̥ͦ𖥟,
,821878496,𓆩ʏᴀғɪ𓆪🦖,
imported_products_et,6280387396,Anti Age,
Mahdi_smarter,378875995,Mahdi,
onedaygm,697099455,1,
zephM12,598967380,Zephaniah,Teshome
Baymax_free_bot,1083221458,Baymax Group Assistant (Free),
GroupAnonymousBot,1087968824,Group,
Zaytofen,1636919866,Natna,
indigoanthem,359982848,Mikeoo,
Fedluamin,6856820159,Kiya,Cool
Abups234,1384666562,You85,
Miraan_md,783906412,🤴__ميران,
king_biny,910136387,biny,
Amarhayu,1244809934,Amar,
,7174254352,መርጌታ/አብርሀም,መርጌታ
Kidus_6,1369962814,Ķîďũš.ŧ,
Ethio2841,614908053,@Ethio,Online market
Mike_oo6,5575158430,Mike,
solimita,5459506085,Mitiku,
yo_xoy,6098879730,𝑽𝒐𝒊𝒍𝒆𝒕𝒕𝒆._🖤,
Yordi2791,501548163,Yordanos,D.
Babusha724,315033791,Babusha 😊,
Hailabetade,353278829,Hailabu,Tade
Merigetanguse,5756218944,መሪጌታ ንጉሴ,ሰሎሞን
Fhdsfcz,6049116058,መርጌታ,አብርሀም
Ella_babu,803723498,Ella,
Makimekdii,6951027096,የማርያም _,
abela0518,1287906413,Scaner😎®™,
,6960379366,TINA BUSINES CENTER,
Trust994,2145055956,ㅤ𝗔𝗕𝗗𝗨𝗥𝗘𝗔ㅤㅤㅤㅤㅤㅤㅤㅤ,
Buuta,403064193,#,
Man2ze,5795496128,እንደ ሰው እማ ቢሆን ____∞∞,
Bgmaz,1265621047,ዮጵ,
Hattmim,480078971,🖤,
Youarenaverwalkalone,1038506074,Naol,Gazu
zedtzedt,411030623,zedo,
JOVVVV16,373200755,Jø🇪🇹,Jø
Ramseee,238507335,Simon,አምሳሉ
kgzgijg27,7971485036,Abe 41,Abe
isgs628,8044961429,Abe 40,Abe
bsvg816v,8051981652,Abe 38,Abe
osgvga7hwb6,8134398678,Abe 39,Abe
ugaig562,7258025052,Abe 34,Ab
hvsh72752l,7955710569,Abe 37,Abe
iyscy96,8158026667,Abe 36,Abe
jsvsgvw72,8184904708,Abe 35,Abe
abejje,7789784858,Abul 28,Abey
hsvisvuv,8019453355,Abe 33,Ab
haggshi,8025111874,Abel 29,Vagag 29
Hsgyshwu,8157872114,Smee 30,Sm
fgshjafqc72,6854596676,Jamaal,Axmed 26
ywfczhbah728e,7552947208,Sim,24
twvzhab72,7591149423,Sim,25
haggsus7,7836597262,Abel 27,Abel
fetusbga,8164507250,Sim,23
ab05058,7130115216,Sim,19
ethi2516,7658257389,Sim,17
abel2584,7873559429,Sim,16
abelkej729,8015638257,Sim,18
etyoi928y,8182015632,Sim,20
Abeldi8,7501772385,abe 11,Abe 11
Abelkd6,7619149770,Abe 10,Abe 10
az095hjs,7685904031,Abel 13 &,Abel 13 &
ayrd5,7830208907,Abe 12 $,Abel 12 $
Whvs727,8114560246,Sem 15 💀,Sme
ethio252,5975291794,Abe 6,Abe 6
hsgsf2762r2,7332746220,Abel 99,Abel
abel658t,7537213452,Abe 9,Abe 9
bzbgz72841,8075820133,Abel 98,Abel
gsggshdd,7718296482,Abel 95,Abel
gshsbgsvd72yt2,7747887011,Abel 97,Abel
gvVavhvw72gs72,7844019353,Abel 96,Abel
yikgda6946,8129774807,Abel 91,Abe
Ethiopia_2018,7798126858,Abel DD 43,Ak
ABEL_2158,7891522546,Abel DD 44,Ak
jzbgsvgv39752,7979645901,Abel 90,Abel
bzhzhvwvhav,8108635543,Abel DD 45,Ak
B_O_B_1980,7646766858,Abel DD41,Ak
BOB_Ethiopia_1980,7731303554,Abel DD42,Ak
abel_21_192,7970275292,Abel DD 40,Ak
sgshsghs8,7438446259,Abel DD 38,Ak
zbshhwuw,7539078840,Abel DD 37,Ak
shdjjsjwjwjjj,7929631686,Abel DD 39,Ak
ahjahwgdy,7654110136,Abel DD 36,Ak
ajahjwi,7667251823,Abel DD 34,Ak
ajwjwjje,7709302859,Abel DD 35,Ak
bxhsh9s,7273241217,Abel DD 32,Ak
SJhdwvxeuce,7812542639,Ab,49
zjsjajjw2,7829112133,Abel DD 33,Ak
chhdhsh9,8102478915,Abel DD 31,Ak
Hcexf4ebfe,8197688510,Ab,50
Dhgsshdvw,7023965140,Ab,48
hxhwh9,8152482667,Abel DD 29,Ak
xnwjhe8,8175931690,Abel DD 30,Ak
hFzff2853,7287930639,Abel D 24,Ak
hwjwhdg7,7628412402,Abel DD 27,Ak
BOB1996AM,7949992518,Abel D 25,Ak
zhzhwhw8,8023857462,Abel DD 28,Ak
zisksoow,8024141903,Abel DD 26,Ak
Gsfsqud4h9s,8196563711,Ab,47
Hfsdsqhvdovd,7020139098,Ab,46
kdhdopqf48,7611874806,Abel D 22,Ak
hsgaccw762673,8019580018,Abel D 23,Ak
Gvsifwfcceyu,7620880182,Ab,45
Sgghgjkre,7833948631,Ab,44
bsgzd75241,7944351872,Abel D 21,Ak
agfCay265282,6198900335,Melke 18,
uatdqz37859,7355325578,Abel D 20,Ak
shgawc6143125,7910323379,Abel D 19,Ak
jdhdhs71551,7970063085,Abel D 17,Ak
Hscdivdhjdg6d,8161832182,Ab,43
